,year,month,stateid,price,price-units
0,12,2023,HI,0.0,cents per kilowatt-hour
1,12,2023,ID,9.46,cents per kilowatt-hour
2,12,2023,ID,8.88,cents per kilowatt-hour
3,12,2023,ID,6.21,cents per kilowatt-hour
5,12,2023,ID,11.53,cents per kilowatt-hour
6,12,2023,ID,0.0,cents per kilowatt-hour
7,12,2023,IL,11.25,cents per kilowatt-hour
8,12,2023,IL,10.72,cents per kilowatt-hour
9,12,2023,IL,8.1,cents per kilowatt-hour
11,12,2023,IL,14.84,cents per kilowatt-hour
12,12,2023,IL,7.29,cents per kilowatt-hour
13,12,2023,IN,11.28,cents per kilowatt-hour
14,12,2023,IN,12.53,cents per kilowatt-hour
15,12,2023,IN,7.87,cents per kilowatt-hour
17,12,2023,IN,14.58,cents per kilowatt-hour
18,12,2023,IN,11.56,cents per kilowatt-hour
19,12,2023,IA,8.42,cents per kilowatt-hour
20,12,2023,IA,9.19,cents per kilowatt-hour
21,12,2023,IA,5.97,cents per kilowatt-hour
23,12,2023,IA,11.95,cents per kilowatt-hour
24,12,2023,IA,0.0,cents per kilowatt-hour
25,12,2023,KS,10.16,cents per kilowatt-hour
26,12,2023,KS,10.27,cents per kilowatt-hour
27,12,2023,KS,7.14,cents per kilowatt-hour
29,12,2023,KS,12.72,cents per kilowatt-hour
30,12,2023,KS,0.0,cents per kilowatt-hour
31,12,2023,KY,9.88,cents per kilowatt-hour
32,12,2023,KY,11.53,cents per kilowatt-hour
33,12,2023,KY,6.36,cents per kilowatt-hour
35,12,2023,KY,12.34,cents per kilowatt-hour
36,12,2023,KY,0.0,cents per kilowatt-hour
37,12,2023,LA,8.69,cents per kilowatt-hour
38,12,2023,LA,10.75,cents per kilowatt-hour
39,12,2023,LA,5.84,cents per kilowatt-hour
41,12,2023,LA,11.21,cents per kilowatt-hour
42,12,2023,LA,11.22,cents per kilowatt-hour
43,12,2023,ME,22.14,cents per kilowatt-hour
44,12,2023,ME,19.04,cents per kilowatt-hour
45,12,2023,ME,13.7,cents per kilowatt-hour
47,12,2023,ME,27.99,cents per kilowatt-hour
48,12,2023,ME,0.0,cents per kilowatt-hour
49,12,2023,MD,14.96,cents per kilowatt-hour
50,12,2023,MD,12.84,cents per kilowatt-hour
51,12,2023,MD,10.17,cents per kilowatt-hour
53,12,2023,MD,17.46,cents per kilowatt-hour
54,10,2023,WY,7.47,cents per kilowatt-hour
56,10,2023,WY,12.49,cents per kilowatt-hour
57,10,2023,WY,0.0,cents per kilowatt-hour
58,10,2023,NEW,22.02,cents per kilowatt-hour
59,10,2023,NEW,19.19,cents per kilowatt-hour
60,10,2023,NEW,15.77,cents per kilowatt-hour
62,10,2023,NEW,28.05,cents per kilowatt-hour
63,10,2023,NEW,10.94,cents per kilowatt-hour
64,10,2023,MAT,15.22,cents per kilowatt-hour
65,10,2023,MAT,15.61,cents per kilowatt-hour
66,10,2023,MAT,7.72,cents per kilowatt-hour
68,10,2023,MAT,19.67,cents per kilowatt-hour
69,10,2023,MAT,14.21,cents per kilowatt-hour
70,10,2023,ENC,11.8,cents per kilowatt-hour
71,10,2023,ENC,11.94,cents per kilowatt-hour
72,10,2023,ENC,7.86,cents per kilowatt-hour
74,10,2023,ENC,16.51,cents per kilowatt-hour
75,10,2023,ENC,7.35,cents per kilowatt-hour
76,10,2023,WNC,10.03,cents per kilowatt-hour
77,10,2023,WNC,9.99,cents per kilowatt-hour
78,10,2023,WNC,7.4,cents per kilowatt-hour
80,10,2023,WNC,13.22,cents per kilowatt-hour
81,10,2023,WNC,12.44,cents per kilowatt-hour
82,10,2023,SAT,11.91,cents per kilowatt-hour
83,10,2023,SAT,10.86,cents per kilowatt-hour
